n_runs,id,n,p,i,cols,wlp,clear_2fi
16,5-1.1,5,1,1,15,"0,0,1",10
16,5-1.2,5,1,2,7,"0,1,0",4
16,5-1.3,5,1,3,3,"1,0,0",7
16,6-2.1,6,2,1,"7,11","0,3,0,0",0
16,6-2.2,6,2,2,"3,13","1,1,1,0",6
16,6-2.3,6,2,3,"3,12","2,0,0,1",9
16,6-2.4,6,2,4,"3,5","2,1,0,0",5
16,7-3.1,7,3,1,"7,11,13","0,7,0,0,0",0
16,7-3.2,7,3,2,"3,5,14","2,3,2,0,0",2
16,7-3.3,7,3,3,"3,5,10","3,2,1,1,0",4
16,7-3.4,7,3,4,"3,5,9","3,3,0,0,1",0
16,7-3.5,7,3,5,"3,5,6","4,3,0,0,0",6
16,8-4.1,8,4,1,"7,11,13,14","0,14,0,0,0,1",0
16,8-4.2,8,4,2,"3,5,9,14","3,7,4,0,1,0",1
16,8-4.3,8,4,3,"3,5,10,12","4,5,4,2,0,0",0
16,8-4.4,8,4,4,"3,5,6,15","4,6,4,0,0,1",0
16,8-4.5,8,4,5,"3,5,6,9","5,5,2,2,1,0",2
16,8-4.6,8,4,6,"3,5,6,7","7,7,0,0,1,0",7
16,9-5.1,9,5,1,"3,5,9,14,15","4,14,8,0,4,1,0",0
16,9-5.2,9,5,2,"3,5,10,12,15","6,9,9,6,0,0,1",0
16,9-5.3,9,5,3,"3,5,6,9,14","6,10,8,4,2,1,0",0
16,9-5.4,9,5,4,"3,5,6,9,10","7,9,6,6,3,0,0",0
16,9-5.5,9,5,5,"3,5,6,7,9","8,10,4,4,4,1,0",0
16,10-6.1,10,6,1,"3,5,6,9,14,15","8,18,16,8,8,5,0,0",0
16,10-6.2,10,6,2,"3,5,6,9,10,13","9,16,15,12,7,3,1,0",0
16,10-6.3,10,6,3,"3,5,6,9,10,12","10,15,12,15,10,0,0,1",0
16,10-6.4,10,6,4,"3,5,6,7,9,10","10,16,12,12,10,3,0,0",0
16,11-7.1,11,7,1,"3,5,6,9,10,13,14","12,26,28,24,20,13,4",0
16,11-7.2,11,7,2,"3,5,6,7,9,10,12","13,25,25,27,23,10,3,1",0
16,11-7.3,11,7,3,"3,5,6,7,9,10,11","13,26,24,24,26,13,0,0,1",0
16,12-8.1,12,8,1,"3,5,6,9,10,13,14,15","16,39,48,48,48,39,16,0,0,1",0
16,12-8.2,12,8,2,"3,5,6,7,9,10,11,12","17,38,44,52,54,33,12,4,1",0
32,6-1.1,6,1,1,31,"0,0,0,1,0",15
32,7-2.1,7,2,1,"7,27","0,1,2,0,0",15
32,7-2.2,7,2,2,"7,25","0,2,0,1,0",9
32,7-2.3,7,2,3,"7,11","0,3,0,0,0",6
32,7-2.4,7,2,4,"3,29","1,0,1,1,0",18
32,7-2.5,7,2,5,"3,28","1,1,0,0,1",12
32,7-2.6,7,2,6,"3,13","1,1,1,0,0",12
32,7-2.7,7,2,7,"3,12","2,0,0,1,0",15
32,7-2.8,7,2,8,"3,5","2,1,0,0,0",11
32,8-3.1,8,3,1,"7,11,29","0,3,4,0,0",13
32,8-3.2,8,3,2,"7,11,21","0,5,0,2,0",4
32,8-3.3,8,3,3,"7,11,19","0,6,0,0,0",0
32,8-3.4,8,3,4,"7,11,13","0,7,0,0,0",7
32,8-3.5,8,3,5,"3,13,22","1,2,3,1,0",13
32,8-3.6,8,3,6,"3,5,30","2,1,2,2,0",18
32,8-3.7,8,3,7,"3,13,21","1,3,2,0,1",10
32,8-3.8,8,3,8,"3,12,21","2,1,2,2,0",16
32,8-3.9,8,3,9,"3,5,26","2,2,1,1,1",12
32,8-3.10,8,3,10,"3,5,25","2,2,2,0,0",12
32,9-4.1,9,4,1,"7,11,19,29","0,6,8,0,0",8
32,9-4.2,9,4,2,"7,11,13,30","0,7,7,0,0",15
32,9-4.3,9,4,3,"7,11,21,25","0,9,0,6,0",0
32,9-4.4,9,4,4,"7,11,13,19","0,10,0,4,0",2
32,9-4.5,9,4,5,"7,11,13,14","0,14,0,0,0",8
32,9-4.6,9,4,6,"3,13,21,26","1,5,6,2,1",9
32,9-4.7,9,4,7,"3,13,21,25","1,7,4,0,3",12
32,9-4.8,9,4,8,"3,12,21,26","2,3,6,4,0",12
32,9-4.9,9,4,9,"3,5,9,30","3,3,4,4,1",15
32,9-4.10,9,4,10,"3,5,10,28","3,3,4,4,1",13
32,10-5.1,10,5,1,"7,11,19,29,30","0,10,16,0,0",0
32,10-5.2,10,5,2,"7,11,21,25,31","0,15,0,15,0",0
32,10-5.3,10,5,3,"7,11,13,19,21","0,16,0,12,0",0
32,10-5.4,10,5,4,"7,11,13,14,19","0,18,0,8,0",0
32,10-5.5,10,5,5,"3,13,21,25,28","1,14,7,0,7",14
32,10-5.6,10,5,6,"3,13,21,25,30","1,10,11,4,3",8
32,10-5.7,10,5,7,"3,12,21,26,31","2,7,12,7,2",6
32,10-5.8,10,5,8,"3,5,14,22,25","2,8,12,4,2",4
32,10-5.9,10,5,9,"3,5,14,23,26","2,9,9,6,4",5
32,10-5.10,10,5,10,"3,5,9,14,31","3,8,11,4,1",12
32,11-6.1,11,6,1,"7,11,13,19,21,25","0,25,0,27,0",0
32,11-6.2,11,6,2,"7,11,13,14,19,21","0,26,0,24,0",0
32,11-6.3,11,6,3,"3,5,14,22,25,31","2,14,22,8,6",0
32,11-6.4,11,6,4,"3,5,14,22,26,29","2,16,16,12,10",6
32,11-6.5,11,6,5,"3,5,14,22,26,28","2,18,14,8,14",6
32,11-6.6,11,6,6,"3,5,10,23,27,28","3,13,19,11,9",3
32,11-6.7,11,6,7,"3,5,9,22,26,29","3,15,13,15,13",4
32,11-6.8,11,6,8,"3,5,9,22,26,28","3,16,12,12,16",4
32,11-6.9,11,6,9,"3,5,9,14,22,26","3,16,13,12,13",4
32,11-6.10,11,6,10,"3,5,9,14,18,29","4,12,18,12,8",5
32,12-7.1,12,7,1,"7,11,13,14,19,21,25","0,38,0,52,0",0
32,12-7.2,12,7,2,"7,11,13,14,19,21,22","0,39,0,48,0",0
32,12-7.3,12,7,3,"3,5,9,14,22,26,29","3,25,23,27,25",5
32,12-7.4,12,7,4,"3,5,9,14,22,26,28","3,26,22,24,28",5
32,12-7.5,12,7,5,"3,5,10,12,22,27,29","4,20,32,22,20",0
32,12-7.6,12,7,6,"3,5,10,12,22,25,31","4,22,28,20,28",0
32,12-7.7,12,7,7,"3,5,6,15,23,25,30","4,23,28,16,28",0
32,12-7.8,12,7,8,"3,5,9,14,17,22,26","4,25,19,27,31",3
32,12-7.9,12,7,9,"3,5,9,14,15,22,26","4,26,20,24,28",3
32,12-7.10,12,7,10,"3,5,9,14,18,20,31","5,19,29,25,23",2
32,13-8.1,13,8,1,"7,11,13,14,19,21,22,25","0,55,0,96,0",0
32,13-8.2,13,8,2,"3,5,9,14,17,22,26,28","4,38,32,52,56",4
32,13-8.3,13,8,3,"3,5,9,14,15,22,26,29","4,38,33,52,52",4
32,13-8.4,13,8,4,"3,5,9,14,15,22,26,28","4,39,32,48,56",4
32,13-8.5,13,8,5,"3,5,9,14,15,17,22,26","5,38,28,52,62",2
32,13-8.6,13,8,6,"3,5,10,12,15,22,27,29","6,28,51,42,42",0
32,13-8.7,13,8,7,"3,5,9,14,18,20,24,31","6,29,46,46,50",0
32,13-8.8,13,8,8,"3,5,9,15,18,20,24,30","6,30,44,44,56",0
32,13-8.9,13,8,9,"3,5,9,15,18,20,24,31","7,28,42,50,56",2
32,13-8.10,13,8,10,"3,5,6,9,14,17,26,29","7,29,42,46,56",2
32,14-9.1,14,9,1,"7,11,13,14,19,21,22,25,26","0,77,0,168,0",0
32,14-9.2,14,9,2,"3,5,9,14,15,17,22,26,28","5,55,45,96,106",3
32,14-9.3,14,9,3,"3,5,9,14,15,17,22,23,26","6,55,40,96,116",1
32,14-9.4,14,9,4,"3,5,9,15,18,20,24,30,31","8,42,64,85,112",0
32,14-9.5,14,9,5,"3,5,9,14,15,18,20,24,31","8,42,65,84,108",0
32,14-9.6,14,9,6,"3,5,6,9,14,17,22,26,29","8,43,64,80,112",0
32,14-9.7,14,9,7,"3,5,9,14,15,18,20,24,30","8,43,64,80,112",0
32,14-9.8,14,9,8,"3,5,6,9,14,15,23,26,29","8,45,64,72,112",0
32,14-9.9,14,9,9,"3,5,6,9,14,17,22,26,27","9,42,60,84,118",2
32,14-9.10,14,9,10,"3,5,6,9,14,15,17,26,29","9,43,61,80,114",2
32,15-10.1,15,10,1,"7,11,13,14,19,21,22,25,26,28","0,105,0,280,0",0
32,15-10.2,15,10,2,"3,5,9,14,15,17,22,23,26,28","6,77,62,168,188",2
32,15-10.3,15,10,3,"3,5,9,14,15,17,22,23,26,27","7,77,56,168,203",0
32,15-10.4,15,10,4,"3,5,6,9,14,17,22,26,27,28","10,60,90,141,212",0
32,15-10.5,15,10,5,"3,5,6,9,14,15,17,22,26,29","10,61,90,136,212",0
32,15-10.6,15,10,6,"3,5,6,9,14,15,17,22,26,27","11,60,85,141,222",2
32,15-10.7,15,10,7,"3,5,9,14,18,20,23,24,27,29","12,49,108,144,176",0
32,15-10.8,15,10,8,"3,5,6,9,14,18,23,24,29,31","12,51,102,144,192",0
32,15-10.9,15,10,9,"3,5,9,14,15,18,20,23,24,30","12,51,102,144,192",0
32,15-10.10,15,10,10,"3,5,6,9,14,15,17,22,23,26","12,61,80,136,232",2
32,16-11.1,16,11,1,"7,11,13,14,19,21,22,25,26,28,31","0,140,0,448,0",0
32,16-11.2,16,11,2,"3,5,9,14,15,17,22,23,26,27,28","7,105,84,280,315",1
32,16-11.3,16,11,3,"3,5,6,9,14,15,17,22,26,27,28","12,83,124,230,376",0
32,16-11.4,16,11,4,"3,5,6,9,14,15,17,22,23,26,29","12,84,124,224,376",0
32,16-11.5,16,11,5,"3,5,6,9,14,15,17,22,23,26,27","13,83,118,230,391",2
32,16-11.6,16,11,6,"3,5,9,14,18,20,23,24,27,29,31","15,65,156,232,315",0
32,16-11.7,16,11,7,"3,5,6,9,10,14,17,22,27,28,29","15,70,141,231,358",0
32,16-11.8,16,11,8,"3,5,6,9,10,14,17,22,23,26,29","15,71,140,226,363",0
32,16-11.9,16,11,9,"3,5,6,9,10,14,15,17,22,26,29","15,73,140,216,363",0
32,16-11.10,16,11,10,"3,5,6,9,10,14,17,22,26,29,31","16,65,148,236,336",0
32,17-12.1,17,12,1,"3,5,9,14,15,17,22,23,26,27,28,29","8,140,112,448",0
32,17-12.2,17,12,2,"3,5,6,9,14,15,17,22,23,26,27,28","14,112,168,364",0
32,17-12.3,17,12,3,"3,5,6,9,10,14,17,22,23,26,27,28","18,95,192,354",0
32,17-12.4,17,12,4,"3,5,6,9,10,14,15,17,22,27,28,29","18,95,193,354",0
32,17-12.5,17,12,5,"3,5,6,9,10,14,15,17,22,23,26,29","18,96,192,348",0
32,18-13.1,18,13,1,"3,5,6,9,14,15,17,22,23,26,27,28,29","16,148,224,560",0
32,18-13.2,18,13,2,"3,5,6,9,10,14,15,17,22,23,26,27,28","21,126,259,532",0
32,18-13.3,18,13,3,"3,5,6,7,9,10,11,17,18,19,28,29,30","22,126,252,532",0
32,18-13.4,18,13,4,"3,5,6,9,14,15,18,21,23,24,27,28,31","24,108,288,552",0
32,18-13.5,18,13,5,"3,5,6,9,10,14,17,22,23,24,27,28,29","24,113,272,547",0
32,19-14.1,19,14,1,"3,5,6,9,10,14,15,17,22,23,26,27,28,29","24,164,344,784",0
32,19-14.2,19,14,2,"3,5,6,7,9,10,11,17,18,19,28,29,30,31","25,164,336,784",0
32,19-14.3,19,14,3,"3,5,6,9,10,14,15,17,18,22,23,26,27,28","28,147,364,791",0
32,19-14.4,19,14,4,"3,5,6,9,10,13,14,15,17,22,23,26,27,28","28,148,364,784",0
32,19-14.5,19,14,5,"3,5,6,9,10,13,14,17,22,23,24,26,29,31","30,136,378,816",0
32,20-15.1,20,15,1,"3,5,6,9,10,14,15,17,18,22,23,26,29,32,188","480,1128",0
32,20-15.2,20,15,2,"3,5,6,9,10,13,14,15,17,22,23,26,29,32,189","480,1120",0
32,20-15.3,20,15,3,"3,5,6,7,9,12,17,18,19,28,31,33,188,472,1128",,0
32,20-15.4,20,15,4,"3,5,6,9,10,14,15,17,18,22,23,26,27,28,31","35,175,491,1155",0
32,20-15.5,20,15,5,"3,5,6,9,10,13,14,15,17,18,22,23,26,27,28","35,176,490,1148",0
32,21-16.1,21,16,1,"3,5,6,9,10,14,15,17,18,22,23,26,29,31,40,220","641,1608",0
32,21-16.2,21,16,2,"3,5,6,9,10,13,14,15,17,18,22,23,26,29,40,221","640,1600",0
32,21-16.3,21,16,3,"3,5,6,7,9,12,17,20,28,31,41,220,632,1608,0",,0
32,21-16.4,21,16,4,"3,5,6,9,10,13,14,17,19,22,23,24,26,28,29,31","42,210,651,1638",0
32,21-16.5,21,16,5,"3,5,6,9,10,13,14,15,17,18,21,25,26,29,42,213","644,1624",0
32,22-17.1,22,17,1,"3,5,6,9,10,13,15,17,18,21,23,25,26,29,30,48,263","832,2224",0
32,22-17.2,22,17,2,"3,5,6,9,10,13,15,17,18,21,23,25,28,49,259,833,2240",,0
32,22-17.3,22,17,3,"3,5,6,7,9,12,17,20,25,28,31,49,261,825,2240,0",,0
32,22-17.4,22,17,4,"3,5,6,7,9,12,17,20,24,28,29,30,31,50,260,816,2249",,0
32,22-17.5,22,17,5,"3,5,6,7,9,13,17,20,28,31,50,261,816,2240,0",,0
32,23-18.1,23,18,1,"3,5,6,9,10,13,14,15,17,18,21,22,23,25,29,56,315,1064",3024,0
32,23-18.2,23,18,2,"3,5,6,7,9,13,17,20,26,28,31,58,311,1050,3056,0",,0
32,23-18.3,23,18,3,"3,5,6,7,9,13,17,18,19,20,21,26,27,28,30,59,308,1047",3073,0
32,23-18.4,23,18,4,"3,5,6,7,9,13,17,20,22,28,31,59,310,1041,3065,0",,0
32,23-18.5,23,18,5,"3,5,6,7,9,13,17,21,26,29,59,311,1040,3056,0",,0
32,24-19.1,24,19,1,"3,5,6,9,10,13,15,17,18,21,23,25,30,64,378,1344,4032,0",,0
32,24-19.2,24,19,2,"3,5,6,7,9,13,17,21,26,30,67,371,1324,4088,0",,0
32,24-19.3,24,19,3,"3,5,6,7,9,13,17,18,20,21,22,24,26,27,30,31,68,369,1316",4106,0
32,24-19.4,24,19,4,"3,5,6,7,9,14,17,20,27,31,68,370,1316,4096,0",,0
32,24-19.5,24,19,5,"3,5,6,7,9,13,17,20,22,24,27,30,69,366,1311,4129,0",,0
32,25-20.1,25,20,1,"3,5,6,7,9,13,17,21,26,31,76,442,1656,5376,0",,0
32,25-20.2,25,20,2,"3,5,6,7,9,13,17,20,22,24,27,31,78,437,1641,5422,0",,0
32,25-20.3,25,20,3,"3,5,6,7,9,14,17,21,26,30,78,438,1640,5412,0",,0
32,25-20.4,25,20,4,"3,5,6,7,9,14,17,22,25,28,79,436,1632,5430,0",,0
32,25-20.5,25,20,5,"3,5,6,7,9,14,17,22,25,26,28,31,79,437,1630,5422,0",,0
32,26-21.1,26,21,1,"3,5,6,7,9,14,17,21,26,31,88,518,2032,7032,0",,0
32,26-21.2,26,21,2,"3,5,6,7,9,14,17,22,25,29,89,516,2023,7052,0",,0
