n_runs,id,n,p,i,cols,wlp,clear_2fi
32,26-21.3,26,21,3,"3,5,6,7,9,14,17,22,24,26,28,31,90,515,2012,7063,0",,0
32,26-21.4,26,21,4,"3,5,6,7,9,15,17,22,24,26,28,90,515,2013,7062,0",,0
32,26-21.5,26,21,5,"3,5,6,7,9,15,17,26,90,516,2012,7052,0",,0
32,27-22.1,27,22,1,"3,5,6,7,9,14,17,22,25,30,100,606,2484,9064,0",,0
32,27-22.2,27,22,2,"3,5,6,7,9,15,17,26,28,101,605,2473,9075,0",,0
32,27-22.3,27,22,3,"3,5,6,7,9,15,17,27,101,606,2472,9064,0",,0
32,28-23.1,28,23,1,"3,5,6,7,9,14,17,22,25,31,112,707,3024,11536,0",,0
32,28-23.2,28,23,2,"3,5,6,7,9,15,17,28,113,706,3012,11548,0",,0
64,7-1.1,7,1,1,63,"0,0,0,1",21
64,8-2.1,8,2,1,"15,51","0,2,1,0",28
64,9-3.1,9,3,1,"7,27,45","1,4,2,0",30
64,9-3.2,9,3,2,"7,25,43","2,3,1,1",24
64,9-3.3,9,3,3,"7,27,43","2,4,0,0",24
64,9-3.4,9,3,4,"7,11,61","3,0,4,0",21
64,9-3.5,9,3,5,"7,25,42","3,0,4,0",18
64,9-3.6,9,3,6,"7,11,53","3,2,0,2",21
64,9-3.7,9,3,7,"7,11,51","3,3,0,0",21
64,9-3.8,9,3,8,"7,11,29","3,4,0,0",21
64,9-3.9,9,3,9,"7,11,49","4,0,2,0",15
64,9-3.10,9,3,10,"7,11,21","5,0,2,0",12
64,10-4.1,10,4,1,"7,27,43,53","2,8,4,0",33
64,10-4.2,10,4,2,"7,25,42,53","3,6,4,2",27
64,10-4.3,10,4,3,"7,11,29,51","3,7,4,0",30
64,10-4.4,10,4,4,"7,11,29,46","3,8,3,0",30
64,10-4.5,10,4,5,"7,11,29,49","4,6,2,2",24
64,10-4.6,10,4,6,"7,11,29,45","4,8,0,0",24
64,10-4.7,10,4,7,"7,25,42,52","5,0,10,0",15
64,10-4.8,10,4,8,"7,11,21,57","5,4,2,4",21
64,10-4.9,10,4,9,"7,11,21,45","5,5,2,2",21
64,10-4.10,10,4,10,"7,11,13,62","7,0,7,0",24
64,11-5.1,11,5,1,"7,11,29,45,51","4,14,8,0",34
64,11-5.2,11,5,2,"7,25,42,52,63","5,10,10,5",25
64,11-5.3,11,5,3,"7,11,29,46,49","5,12,7,4",28
64,11-5.4,11,5,4,"7,11,21,46,56","6,10,8,4",25
64,11-5.5,11,5,5,"7,11,29,45,49","6,12,4,4",25
64,11-5.6,11,5,6,"7,11,19,29,62","6,12,8,0",27
64,11-5.7,11,5,7,"7,11,21,38,57","7,8,7,8",22
64,11-5.8,11,5,8,"7,11,21,41,51","7,9,6,6",22
64,11-5.9,11,5,9,"7,11,13,30,49","8,10,4,4",28
64,11-5.10,11,5,10,"7,11,13,30,46","8,14,0,0",28
64,12-6.1,12,6,1,"7,11,29,45,51,62","6,24,16,0",36
64,12-6.2,12,6,2,"7,11,21,46,54,56","8,20,14,8",27
64,12-6.3,12,6,3,"7,11,21,41,51,63","9,18,13,12",24
64,12-6.4,12,6,4,"7,11,21,41,54,56","10,15,16,11",21
64,12-6.5,12,6,5,"7,11,13,30,46,49","10,20,8,8",30
64,12-6.6,12,6,6,"7,11,19,37,57,63","10,16,12,16",20
64,12-6.7,12,6,7,"7,11,19,29,37,59","10,16,16,8",20
64,12-6.8,12,6,8,"7,11,19,29,37,57","10,18,10,12",20
64,12-6.9,12,6,9,"7,11,21,25,38,58","11,14,15,12",21
64,12-6.10,12,6,10,"7,11,13,19,46,49","12,14,12,12",23
64,13-7.1,13,7,1,"7,11,21,25,38,58,60","14,28,24,24",20
64,13-7.2,13,7,2,"7,11,13,30,46,49,63","14,33,16,16",36
64,13-7.3,13,7,3,"7,11,19,29,37,59,62","15,24,32,16",12
64,13-7.4,13,7,4,"7,11,19,29,37,41,60","15,27,21,27",16
64,13-7.5,13,7,5,"7,11,13,19,46,49,63","15,28,20,24",22
64,13-7.6,13,7,6,"7,11,19,30,37,41,52","16,22,30,22",17
64,13-7.7,13,7,7,"7,11,13,19,37,57,63","16,24,22,32",18
64,13-7.8,13,7,8,"7,11,19,37,41,60,63","16,26,18,30",12
64,13-7.9,13,7,9,"7,11,19,29,37,41,47","18,20,28,24",20
64,13-7.10,13,7,10,"7,11,13,19,35,49,63","18,21,24,24",21
64,14-8.1,14,8,1,"7,11,19,30,37,41,49,60","22,40,36,56",8
64,14-8.2,14,8,2,"7,11,19,29,30,37,41,47","22,40,41,48",16
64,14-8.3,14,8,3,"7,11,13,19,21,25,35,60","29,26,46,50",19
64,14-8.4,14,8,4,"7,11,13,14,19,21,25,54","38,17,52,44",25
64,14-8.5,14,8,5,"7,11,13,14,19,21,22,57","39,16,48,48",25
64,14-8.6,14,8,6,"7,11,19,29,30,37,41,49","22,41,36,52",8
64,14-8.7,14,8,7,"7,11,19,30,37,41,52,56","23,32,56,40",13
64,14-8.8,14,8,8,"7,11,13,19,21,41,54,63","23,38,38,54",16
64,14-8.9,14,8,9,"7,11,13,19,21,46,54,56","23,40,36,48",16
64,14-8.10,14,8,10,"7,11,19,29,37,41,47,49","24,31,54,42",16
64,15-9.1,15,9,1,"7,11,19,30,37,41,49,60,63","30,60,60,105",0
64,15-9.2,15,9,2,"7,11,19,29,30,37,41,49,60","30,61,60,100",0
64,15-9.3,15,9,3,"7,11,19,29,37,41,47,49,55","33,44,96,72",14
64,15-9.4,15,9,4,"7,11,13,14,19,21,35,41,63","39,38,80,88",19
64,15-9.5,15,9,5,"7,11,13,14,19,21,22,25,58","55,22,96,72",27
64,15-9.6,15,9,6,"7,11,13,19,21,35,37,57,58","33,54,60,108",6
64,15-9.7,15,9,7,"7,11,13,19,21,25,35,60,63","34,52,65,100",12
64,15-9.8,15,9,8,"7,11,13,19,21,35,41,49,63","35,42,88,80",14
64,15-9.9,15,9,9,"7,11,13,19,21,25,35,37,63","37,40,84,84",17
64,15-9.10,15,9,10,"7,11,13,14,19,21,25,35,60","43,34,80,88",18
64,16-10.1,16,10,1,"7,11,13,19,21,35,37,57,58,60","43,81,96,189",0
64,16-10.2,16,10,2,"7,11,19,29,37,41,47,49,55,59","45,60,160,120",15
64,16-10.3,16,10,3,"7,11,13,19,21,25,35,37,41,63","49,56,144,136",15
64,16-10.4,16,10,4,"7,11,13,14,19,21,25,35,37,63","53,52,136,144",18
64,16-10.5,16,10,5,"7,11,13,14,19,21,22,25,35,60","61,44,136,144",17
64,16-10.6,16,10,6,"7,11,13,14,19,21,22,25,26,60","77,28,168,112",29
64,16-10.7,16,10,7,"7,11,13,14,19,21,35,37,57,58","47,72,98,192",4
64,16-10.8,16,10,8,"7,11,13,14,19,21,25,35,60,63","49,68,108,176",8
64,16-10.9,16,10,9,"7,11,13,14,19,21,22,35,57,60","51,64,102,192",4
64,16-10.10,16,10,10,"7,11,13,14,19,21,22,35,37,57","57,48,120,160",15
64,16-10.11,16,10,11,"7,11,13,19,21,35,41,50,61,62","59,0,262,0",0
64,16-10.12,16,10,12,"7,11,13,19,21,35,41,49,61,62","60,0,256,0",0
64,16-10.13,16,10,13,"7,11,13,19,21,35,41,52,56,62","60,0,256,0",0
64,16-10.14,16,10,14,"7,11,19,37,41,47,49,55,59,62","60,0,256,0",0
64,16-10.15,16,10,15,"7,11,13,19,21,25,35,44,55,61","60,0,257,0",0
64,17-11.1,17,11,1,"7,11,13,14,19,21,35,37,57,58,60","59,108,150,324",0
64,17-11.2,17,11,2,"7,11,19,29,37,41,47,49,55,59,62","60,80,256,192",16
64,17-11.3,17,11,3,"7,11,13,19,21,25,35,37,41,49,63","65,75,232,216",16
64,17-11.4,17,11,4,"7,11,13,14,19,21,25,35,37,41,63","68,72,224,224",16
64,17-11.5,17,11,5,"7,11,13,14,19,21,22,25,35,37,63","73,67,216,232",19
64,17-11.6,17,11,6,"7,11,13,14,19,21,22,25,26,28,63","105,35,280,168",31
64,17-11.7,17,11,7,"7,11,13,14,19,21,22,35,37,38,57","76,64,192,256",16
64,17-11.8,17,11,8,"7,11,13,19,21,25,35,37,42,61,62","79,0,394,0",0
64,17-11.9,17,11,9,"7,11,13,14,19,21,35,41,49,50,61","80,0,388,0",0
64,17-11.10,17,11,10,"7,11,13,14,19,21,22,25,26,35,60","84,56,224,224",16
64,18-12.1,18,12,1,"7,11,13,14,19,21,22,35,37,57,58,60","78,144,228",0
64,18-12.2,18,12,2,"7,11,13,14,19,21,22,35,37,38,57,58","84,128,240",0
64,18-12.3,18,12,3,"7,11,13,14,19,21,22,25,26,35,60,63","92,112,280",0
64,18-12.4,18,12,4,"7,11,13,19,21,25,35,37,42,49,61,62","102,0,588",0
64,18-12.5,18,12,5,"7,11,13,14,19,21,25,35,44,49,52,62","103,0,582",0
64,19-13.1,19,13,1,"7,11,13,14,19,21,22,35,37,38,57,58,60","100,192,336",0
64,19-13.2,19,13,2,"7,11,13,14,19,21,22,35,41,44,49,55,56","131,0,847",0
64,19-13.3,19,13,3,"7,11,13,14,19,21,25,35,37,42,49,50,61","131,0,847",0
64,19-13.4,19,13,4,"7,11,13,14,19,21,22,35,41,42,49,52,56","132,0,840",0
64,19-13.5,19,13,5,"7,11,13,14,19,21,25,35,37,41,49,50,61","132,0,840",0
64,20-14.1,20,14,1,"7,11,13,14,19,21,22,35,37,38,57,58,60,63","125,256,480",0
64,20-14.2,20,14,2,"7,11,13,14,19,21,22,35,41,42,49,52,56,62","164,0,1208",0
64,20-14.3,20,14,3,"7,11,13,14,19,21,22,35,41,42,49,52,56,61","165,0,1200",0
64,20-14.4,20,14,4,"7,11,13,14,19,21,22,35,41,42,49,50,61,62","165,0,1200",0
64,20-14.5,20,14,5,"7,11,13,14,19,21,25,35,37,42,49,52,59,61","165,0,1200",0
64,21-15.1,21,15,1,"7,11,13,14,19,21,22,25,35,41,42,49,52,56,62","204,0,1680",0
64,21-15.2,21,15,2,"7,11,13,14,19,21,22,25,35,37,41,42,49,50,61","205,0,1672",0
64,21-15.3,21,15,3,"7,11,13,14,19,21,22,25,35,37,41,42,49,52,56","205,0,1672",0
64,21-15.4,21,15,4,"7,11,13,14,19,21,22,25,35,41,42,49,50,61,62","205,0,1672",0
64,21-15.5,21,15,5,"7,11,13,14,19,21,22,25,26,37,41,44,49,52,59","206,0,1666",0
64,22-16.1,22,16,1,"7,11,13,14,19,21,22,25,35,37,41,42,49,52,56,62","250,0,2304",0
64,22-16.2,22,16,2,"7,11,13,14,19,21,22,25,26,35,37,41,44,49,52,59","251,0,2296",0
64,22-16.3,22,16,3,"7,11,13,14,19,21,22,25,26,37,41,44,49,52,59,62","251,0,2296",0
64,22-16.4,22,16,4,"7,11,13,14,19,21,22,25,26,35,37,38,41,44,49,56","252,0,2288",0
64,22-16.5,22,16,5,"7,11,13,14,19,21,22,25,26,35,37,38,41,44,49,55","252,0,2289",0
64,23-17.1,23,17,1,"7,11,13,14,19,21,22,25,26,35,37,41,44,49,52,56,62","304,0,3105",0
64,23-17.2,23,17,2,"7,11,13,14,19,21,22,25,26,35,37,38,41,44,49,55,56","304,0,3105",0
64,23-17.3,23,17,3,"7,11,13,14,19,21,22,25,26,35,37,38,41,42,49,52,56","305,0,3096",0
64,23-17.4,23,17,4,"7,11,13,14,19,21,22,25,26,28,35,37,38,41,42,49,52","306,0,3089",0
64,23-17.5,23,17,5,"7,11,13,14,19,21,22,25,26,28,35,37,38,41,42,49,50","307,0,3080",0
64,24-18.1,24,18,1,"7,11,13,14,19,21,22,25,26,35,37,38,41,42,49,52,56,62","365,0,4138",0
64,24-18.2,24,18,2,"7,11,13,14,19,21,22,25,26,35,37,38,41,42,49,52,56,61","366,0,4128",0
64,24-18.3,24,18,3,"7,11,13,14,19,21,22,25,26,28,35,37,38,41,42,49,52,56","366,0,4129",0
64,24-18.4,24,18,4,"7,11,13,14,19,21,22,25,26,28,35,37,38,41,42,44,49,50","367,0,4120",0
64,24-18.5,24,18,5,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,49,52","369,0,4106",0
64,25-19.1,25,19,1,"7,11,13,14,19,21,22,25,26,28,35,37,38,41,42,49,52,56,62","435,0,5440",0
64,25-19.2,25,19,2,"7,11,13,14,19,21,22,25,26,28,35,37,38,41,42,44,49,50,52","436,0,5430",0
64,25-19.3,25,19,3,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,49,52,56","437,0,5422",0
64,25-19.4,25,19,4,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,44,49,50","438,0,5412",0
64,25-19.5,25,19,5,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,44,47,49","442,0,5376",0
64,26-20.1,26,20,1,"7,11,13,14,19,21,22,25,26,28,35,37,38,41,42,44,49,50,52,56","515,0,7062",0
64,26-20.2,26,20,2,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,49,52,56,62","515,7063",0
64,26-20.3,26,20,3,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,44,49,50,52","516,0,7052",0
64,26-20.4,26,20,4,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,44,47,49,50","518,0,7032",0
64,27-21.1,27,21,1,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,44,49,50,52,56","605,0,9075",0
64,27-21.2,27,21,2,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,44,47,49,50,52","606,0,9064",0
64,28-22.1,28,22,1,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,44,47,49,50,52,56","706,0,11548",0
64,28-22.2,28,22,2,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,44,47,49,50,52,55","707,0,11536",0
64,29-23.1,29,23,1,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,44,47,49,50,52,55,56","819,0,14560",0
64,30-24.1,30,24,1,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,44,47,49,50,52,55,56,59","945,0,18200",0
64,31-25.1,31,25,1,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,44,47,49,50,52,55,56,59,61","1085,0,22568",0
64,32-26.1,32,26,1,"7,11,13,14,19,21,22,25,26,28,31,35,37,38,41,42,44,47,49,50,52,55,56,59,61,62","1240,0,27776",0
